ID,strain,temperature,treatment,timepoint,day,replicate,live,dead,tot cells,perc_dead,prop_dead
716CHR3,716,4,Control,3,36,3,123,48,171,28.07017544,0.280701754
654CLR1,654,1,Control,3,36,1,277,24,301,7.973421927,0.079734219
654CLR2,654,1,Control,3,36,2,134,11,145,7.586206897,0.075862069
654CLR3,654,1,Control,3,36,3,162,9,171,5.263157895,0.052631579
654CHR1,654,4,Control,3,36,1,293,15,308,4.87012987,0.048701299
654CHR2,654,4,Control,3,36,2,160,9,169,5.325443787,0.053254438
654CHR3,654,4,Control,3,36,3,255,11,266,4.135338346,0.041353383
590DLR1,590,1,Dark,4,50,1,144,68,212,32.0754717,0.320754717
590DLR2,590,1,Dark,4,50,2,242,53,295,17.96610169,0.179661017
590DLR3,590,1,Dark,4,50,3,166,32,198,16.16161616,0.161616162
590DHR1,590,4,Dark,4,50,1,241,124,365,33.97260274,0.339726027
590DHR2,590,4,Dark,4,50,2,124,52,176,29.54545455,0.295454545
590DHR3,590,4,Dark,4,50,3,88,40,128,31.25,0.3125
633DLR1,633,1,Dark,4,50,1,152,57,209,27.27272727,0.272727273
633DLR2,633,1,Dark,4,50,2,128,70,198,35.35353535,0.353535354
633DLR3,633,1,Dark,4,50,3,122,56,178,31.46067416,0.314606742
633DHR1,633,4,Dark,4,50,1,73,75,148,50.67567568,0.506756757
633DHR2,633,4,Dark,4,50,2,68,79,147,53.7414966,0.537414966
633DHR3,633,4,Dark,4,50,3,72,47,119,39.49579832,0.394957983
595DLR1,595,1,Dark,4,50,1,43,63,106,59.43396226,0.594339623
595DLR2,595,1,Dark,4,50,2,76,99,175,56.57142857,0.565714286
595DLR3,595,1,Dark,4,50,3,65,96,161,59.62732919,0.596273292
595DHR1,595,4,Dark,4,50,1,47,47,94,50,0.5
595DHR2,595,4,Dark,4,50,2,19,47,66,71.21212121,0.712121212
595DHR3,595,4,Dark,4,50,3,47,41,88,46.59090909,0.465909091
716DLR1,716,1,Dark,4,50,1,122,37,159,23.27044025,0.232704403
716DLR2,716,1,Dark,4,50,2,124,34,158,21.51898734,0.215189873
716DLR3,716,1,Dark,4,50,3,96,29,125,23.2,0.232
716DHR1,716,4,Dark,4,50,1,73,32,105,30.47619048,0.304761905
716DHR2,716,4,Dark,4,50,2,66,39,105,37.14285714,0.371428571
716DHR3,716,4,Dark,4,50,3,79,62,141,43.97163121,0.439716312
654DLR1,654,1,Dark,4,50,1,183,16,199,8.040201005,0.08040201
654DLR2,654,1,Dark,4,50,2,228,21,249,8.43373494,0.084337349
654DLR3,654,1,Dark,4,50,3,78,60,138,43.47826087,0.434782609
654DHR1,654,4,Dark,4,50,1,99,45,144,31.25,0.3125
654DHR2,654,4,Dark,4,50,2,73,42,115,36.52173913,0.365217391
654DHR3,654,4,Dark,4,50,3,69,38,107,35.51401869,0.355140187
590CLR1,590,1,Control,4,50,1,294,13,307,4.234527687,0.042345277
590CLR2,590,1,Control,4,50,2,124,24,148,16.21621622,0.162162162
590CLR3,590,1,Control,4,50,3,298,14,312,4.487179487,0.044871795
590CHR1,590,4,Control,4,50,1,185,11,196,5.612244898,0.056122449
590CHR2,590,4,Control,4,50,2,151,11,162,6.790123457,0.067901235
590CHR3,590,4,Control,4,50,3,213,32,245,13.06122449,0.130612245
633CLR1,633,1,Control,4,50,1,316,18,334,5.389221557,0.053892216
633CLR2,633,1,Control,4,50,2,301,11,312,3.525641026,0.03525641
633CLR3,633,1,Control,4,50,3,242,6,248,2.419354839,0.024193548
633CHR1,633,4,Control,4,50,1,399,19,418,4.545454545,0.045454545
633CHR2,633,4,Control,4,50,2,260,22,282,7.80141844,0.078014184
633CHR3,633,4,Control,4,50,3,280,24,304,7.894736842,0.078947368
595CLR1,595,1,Control,4,50,1,87,15,102,14.70588235,0.147058824
595CLR2,595,1,Control,4,50,2,76,8,84,9.523809524,0.095238095
595CLR3,595,1,Control,4,50,3,138,13,151,8.609271523,0.086092715
595CHR1,595,4,Control,4,50,1,113,12,125,9.6,0.096
595CHR2,595,4,Control,4,50,2,75,13,88,14.77272727,0.147727273
595CHR3,595,4,Control,4,50,3,71,11,82,13.41463415,0.134146341
716CLR1,716,1,Control,4,50,1,352,11,363,3.03030303,0.03030303
716CLR2,716,1,Control,4,50,2,284,19,303,6.270627063,0.062706271
716CLR3,716,1,Control,4,50,3,220,4,224,1.785714286,0.017857143
716CHR1,716,4,Control,4,50,1,272,11,283,3.886925795,0.038869258
716CHR2,716,4,Control,4,50,2,299,28,327,8.562691131,0.085626911
716CHR3,716,4,Control,4,50,3,232,59,291,20.27491409,0.202749141
654CLR1,654,1,Control,4,50,1,135,14,149,9.395973154,0.093959732
654CLR2,654,1,Control,4,50,2,222,13,235,5.531914894,0.055319149
654CLR3,654,1,Control,4,50,3,161,2,163,1.226993865,0.012269939
654CHR1,654,4,Control,4,50,1,252,47,299,15.71906355,0.157190635
654CHR2,654,4,Control,4,50,2,226,67,293,22.8668942,0.228668942
654CHR3,654,4,Control,4,50,3,279,4,283,1.413427562,0.014134276
590DLR1,590,1,Dark,5,85,1,100,85,185,45.94594595,0.459459459
590DLR2,590,1,Dark,5,85,2,86,57,143,39.86013986,0.398601399
590DLR3,590,1,Dark,5,85,3,42,49,91,53.84615385,0.538461538
590DHR1,590,4,Dark,5,85,1,51,76,127,59.84251969,0.598425197
590DHR2,590,4,Dark,5,85,2,32,63,95,66.31578947,0.663157895
590DHR3,590,4,Dark,5,85,3,44,179,223,80.2690583,0.802690583
633DLR1,633,1,Dark,5,85,1,64,76,140,54.28571429,0.542857143
633DLR2,633,1,Dark,5,85,2,46,34,80,42.5,0.425
633DLR3,633,1,Dark,5,85,3,19,45,64,70.3125,0.703125
633DHR1,633,4,Dark,5,85,1,28,94,122,77.04918033,0.770491803
633DHR2,633,4,Dark,5,85,2,24,106,130,81.53846154,0.815384615
633DHR3,633,4,Dark,5,85,3,11,87,98,88.7755102,0.887755102
595DLR1,595,1,Dark,5,85,1,27,72,99,72.72727273,0.727272727
595DLR2,595,1,Dark,5,85,2,28,47,75,62.66666667,0.626666667
595DLR3,595,1,Dark,5,85,3,28,47,75,62.66666667,0.626666667
595DHR1,595,4,Dark,5,85,1,41,48,89,53.93258427,0.539325843
595DHR2,595,4,Dark,5,85,2,17,31,48,64.58333333,0.645833333
595DHR3,595,4,Dark,5,85,3,11,44,55,80,0.8
716DLR1,716,1,Dark,5,85,1,50,78,128,60.9375,0.609375
716DLR2,716,1,Dark,5,85,2,47,75,122,61.47540984,0.614754098
716DLR3,716,1,Dark,5,85,3,39,107,146,73.28767123,0.732876712
716DHR1,716,4,Dark,5,85,1,19,78,97,80.41237113,0.804123711
716DHR2,716,4,Dark,5,85,2,18,51,69,73.91304348,0.739130435
716DHR3,716,4,Dark,5,85,3,19,82,101,81.18811881,0.811881188
654DLR1,654,1,Dark,5,85,1,91,87,178,48.87640449,0.488764045
654DLR2,654,1,Dark,5,85,2,71,84,155,54.19354839,0.541935484
654DLR3,654,1,Dark,5,85,3,35,26,61,42.62295082,0.426229508
654DHR1,654,4,Dark,5,85,1,36,76,112,67.85714286,0.678571429
654DHR2,654,4,Dark,5,85,2,25,57,82,69.51219512,0.695121951
654DHR3,654,4,Dark,5,85,3,11,76,87,87.35632184,0.873563218
590CLR1,590,1,Control,5,85,1,116,49,165,29.6969697,0.296969697
590CLR2,590,1,Control,5,85,2,140,89,229,38.86462882,0.388646288
590CLR3,590,1,Control,5,85,3,218,42,260,16.15384615,0.161538462
590CHR1,590,4,Control,5,85,1,100,102,202,50.4950495,0.504950495
590CHR2,590,4,Control,5,85,2,101,82,183,44.80874317,0.448087432
590CHR3,590,4,Control,5,85,3,94,52,146,35.61643836,0.356164384
633CLR1,633,1,Control,5,85,1,150,52,202,25.74257426,0.257425743
633CLR2,633,1,Control,5,85,2,104,81,185,43.78378378,0.437837838
633CLR3,633,1,Control,5,85,3,148,69,217,31.79723502,0.31797235
633CHR1,633,4,Control,5,85,1,133,72,205,35.12195122,0.351219512
633CHR2,633,4,Control,5,85,2,73,102,175,58.28571429,0.582857143
633CHR3,633,4,Control,5,85,3,173,78,251,31.07569721,0.310756972
595CLR1,595,1,Control,5,85,1,80,30,110,27.27272727,0.272727273
595CLR2,595,1,Control,5,85,2,36,40,76,52.63157895,0.526315789
595CLR3,595,1,Control,5,85,3,88,45,133,33.83458647,0.338345865
595CHR1,595,4,Control,5,85,1,35,104,139,74.82014388,0.748201439
595CHR2,595,4,Control,5,85,2,68,87,155,56.12903226,0.561290323
595CHR3,595,4,Control,5,85,3,66,51,117,43.58974359,0.435897436
716CLR1,716,1,Control,5,85,1,181,63,244,25.81967213,0.258196721
716CLR2,716,1,Control,5,85,2,152,79,231,34.1991342,0.341991342
716CLR3,716,1,Control,5,85,3,151,86,237,36.28691983,0.362869198
716CHR1,716,4,Control,5,85,1,107,120,227,52.86343612,0.528634361
716CHR2,716,4,Control,5,85,2,121,105,226,46.46017699,0.46460177
716CHR3,716,4,Control,5,85,3,91,225,316,71.20253165,0.712025316
654CLR1,654,1,Control,5,85,1,112,15,127,11.81102362,0.118110236
654CLR2,654,1,Control,5,85,2,128,21,149,14.09395973,0.140939597
654CLR3,654,1,Control,5,85,3,98,33,131,25.19083969,0.251908397
654CHR1,654,4,Control,5,85,1,156,43,199,21.6080402,0.216080402
654CHR2,654,4,Control,5,85,2,203,31,234,13.24786325,0.132478632
654CHR3,654,4,Control,5,85,3,224,56,280,20,0.2
